transaction_id,date_of_payment,customer_id,employee_id,amount,type
1,2022-04-29 02:45:15.334368,425,33,7970,applepay
2,2023-04-10 22:40:50.683041,730,24,16790,mastercard
3,2021-08-09 01:53:37.740671,42,44,9270,cash
4,2022-05-03 09:03:14.431179,1392,41,2010,applepay
5,2021-05-03 18:53:43.274213,638,26,27370,visa
6,2020-01-25 17:17:52.149895,214,48,2400,applepay
7,2021-07-14 00:47:02.795510,1588,21,26560,cash
8,2022-12-20 11:44:55.722487,983,36,21180,cash
9,2022-12-27 13:07:55.204778,177,19,26230,applepay
10,2021-06-05 05:56:21.984658,658,48,2600,mastercard
11,2020-04-16 08:22:43.641843,1260,26,1110,mastercard
12,2021-12-28 05:54:36.343534,1337,14,28210,mastercard
13,2020-11-12 00:29:22.573469,831,3,9350,applepay
14,2022-08-07 21:21:05.029898,1779,43,13690,cash
15,2023-02-07 14:19:01.102734,403,22,2370,mastercard
16,2020-05-08 06:48:34.502759,1317,35,1430,applepay
17,2023-03-19 17:40:39.509104,1373,49,29070,cash
18,2022-05-28 03:57:25.981336,706,6,1900,cash
19,2023-02-13 13:27:40.298111,221,1,1750,cash
20,2021-07-19 01:23:53.345273,60,37,22790,visa
21,2020-07-22 21:44:10.862359,898,41,17160,visa
22,2022-03-07 21:23:15.384257,726,46,2020,applepay
23,2023-06-09 13:43:44.302889,625,6,17270,applepay
24,2021-09-24 07:07:40.872218,1201,20,5670,applepay
25,2021-12-14 11:19:23.228998,1247,22,13200,visa
26,2020-10-04 07:15:08.347612,1841,50,27370,cash
27,2022-09-04 11:58:34.124345,1378,13,6300,mastercard
28,2020-02-18 20:19:11.622128,1879,27,2170,applepay
29,2022-08-01 22:27:24.784528,924,21,10590,cash
30,2023-01-25 12:20:27.062483,1319,47,28860,applepay
31,2021-07-13 10:32:16.159278,1972,39,9800,mastercard
32,2020-08-14 23:02:49.227787,76,37,4140,cash
33,2023-04-25 07:17:22.041489,513,36,10800,visa
34,2023-03-24 10:34:27.350669,1030,25,24290,cash
35,2022-12-01 04:36:06.465306,551,15,15280,cash
36,2023-10-17 10:36:54.100988,135,25,6850,cash
37,2020-03-26 05:22:07.141310,1556,19,1530,cash
38,2022-05-13 05:48:37.042057,129,10,810,cash
39,2022-03-16 02:23:30.214277,435,2,15520,applepay
40,2021-02-24 12:14:58.933572,1978,47,11960,applepay
41,2022-03-08 03:05:57.533876,831,48,24210,mastercard
42,2023-06-06 00:51:28.734790,95,17,9760,mastercard
43,2021-11-24 15:06:47.994694,975,19,9040,mastercard
44,2021-03-15 23:20:59.687077,249,32,15940,mastercard
45,2021-03-06 20:10:08.336875,977,50,16170,cash
46,2020-02-09 23:49:45.867188,716,43,590,cash
47,2021-11-08 23:54:27.935750,360,13,1140,visa
48,2022-04-02 06:22:33.902322,428,22,29910,applepay
49,2020-09-05 13:17:56.556325,277,15,15400,applepay
50,2021-07-11 03:59:10.091093,626,38,19800,visa
51,2021-05-28 21:37:39.977884,238,15,9080,applepay
52,2022-05-11 02:16:21.672025,1352,41,3750,applepay
53,2021-02-03 19:14:07.761998,1196,13,15320,applepay
54,2021-07-12 02:59:23.694280,646,36,28360,mastercard
55,2020-04-30 12:35:26.770807,362,2,28180,cash
56,2022-10-03 08:39:02.750959,454,17,23630,visa
57,2023-01-24 06:18:13.453656,1133,8,19870,visa
58,2020-09-16 21:52:31.482287,972,9,15380,applepay
59,2023-12-24 11:23:51.072581,567,46,23690,mastercard
60,2020-03-01 05:39:28.884007,1006,41,110,applepay
61,2020-10-02 17:32:13.009561,1602,26,15060,visa
62,2022-04-28 03:13:50.162041,1921,28,210,applepay
63,2020-12-01 12:00:36.643139,140,48,9020,visa
64,2021-01-18 18:53:16.395989,1261,21,17310,visa
65,2022-04-16 08:35:56.894394,855,24,2980,mastercard
66,2022-09-21 03:17:13.361741,846,25,28920,applepay
67,2023-02-10 13:45:18.246769,855,4,5560,cash
68,2021-12-20 19:56:49.169398,193,12,14520,visa
69,2021-01-02 11:22:06.097353,418,47,17660,mastercard
70,2022-09-19 13:21:23.480298,310,34,60,visa
71,2020-03-26 10:08:07.404728,1019,23,16260,cash
72,2020-07-22 14:35:20.246204,45,31,16300,visa
73,2021-12-20 15:43:15.011502,1579,33,16460,cash
74,2021-07-04 06:37:24.912692,244,7,9960,visa
75,2023-08-28 14:07:37.192977,633,32,600,cash
76,2022-11-23 15:22:56.764473,848,37,27480,visa
77,2023-11-07 20:30:04.170216,152,2,27570,visa
78,2022-06-05 18:56:34.464720,831,42,29620,cash
79,2023-10-31 13:31:38.934861,1180,49,24270,mastercard
80,2020-04-29 01:24:47.964795,580,32,15620,applepay
81,2020-04-22 20:42:34.260813,1454,20,28750,mastercard
82,2023-10-29 03:18:12.122617,1019,29,29350,cash
83,2021-01-06 18:31:36.651056,1154,43,15510,cash
84,2023-09-29 15:34:12.994906,658,42,28720,visa
85,2021-02-02 22:04:03.788198,362,5,60,visa
86,2020-07-26 22:41:15.473486,333,38,21200,visa
87,2021-12-28 04:40:14.835424,1681,41,4000,visa
88,2022-02-09 11:55:13.320471,353,19,12630,visa
89,2022-11-19 03:02:13.718982,1871,28,1000,visa
90,2020-11-04 04:00:38.617765,1483,36,12540,cash
91,2022-08-23 16:55:55.849483,537,36,17760,mastercard
92,2020-11-17 14:00:35.859319,4,29,20260,visa
93,2022-06-30 08:20:11.574688,1783,49,8360,mastercard
94,2022-08-01 08:11:55.961959,1855,13,10570,applepay
95,2022-08-25 20:08:50.258156,1437,11,16190,cash
96,2023-07-09 06:13:03.448910,1993,5,21180,mastercard
97,2020-12-31 11:09:23.969191,121,29,29280,cash
98,2022-01-28 03:05:19.608576,816,39,20920,visa
99,2022-06-11 06:23:39.893700,110,9,8550,mastercard
100,2022-09-05 11:20:56.414651,605,47,3800,mastercard
101,2021-01-02 16:55:48.279783,1778,11,2010,visa
102,2021-04-12 02:50:28.203261,1729,48,15040,cash
103,2021-10-12 07:24:14.208368,1010,12,19070,visa
104,2021-01-28 08:48:46.383190,1296,43,22440,cash
105,2020-03-14 17:59:03.878525,1169,19,22470,visa
106,2023-01-20 13:52:25.484786,1176,22,6410,cash
107,2020-02-11 22:17:13.742492,1972,38,15710,mastercard
108,2023-12-02 18:53:44.131639,1628,30,8910,mastercard
109,2021-07-29 00:49:33.499413,1809,15,4880,visa
110,2023-05-17 22:23:48.102417,837,50,24460,visa
111,2020-02-04 19:13:42.961243,1163,28,4750,visa
112,2023-10-21 18:23:58.221930,1258,7,28380,applepay
113,2021-04-15 23:40:05.046803,771,21,20070,cash
114,2021-07-13 04:34:02.474848,1054,36,2690,applepay
115,2021-06-14 05:10:20.727891,1353,5,12830,visa
116,2022-10-05 13:42:46.800073,1995,6,22920,mastercard
117,2023-02-09 14:01:13.944341,190,44,8520,visa
118,2022-09-07 02:23:43.368590,404,48,13320,cash
119,2022-07-11 08:43:34.208446,1103,26,1770,cash
120,2020-08-25 06:57:05.443953,885,16,25150,applepay
121,2021-08-15 09:37:33.607573,1280,47,13590,applepay
122,2020-07-13 04:41:14.391613,950,13,15210,cash
123,2021-07-20 17:24:16.520318,1952,49,19200,mastercard
124,2021-03-04 06:40:40.342277,1957,16,210,visa
125,2020-05-22 03:17:16.267520,1290,7,18760,applepay
126,2021-08-31 18:31:12.499308,347,37,11610,applepay
127,2023-07-15 22:44:45.421975,638,15,26250,mastercard
128,2022-03-27 05:08:54.569900,1709,49,1270,cash
