transaction_id,date_of_payment,customer_id,employee_id,amount,type
1,2022-10-25 02:08:27.402660,217,5,1780,applepay
2,2023-12-25 15:24:27.909259,1851,59,29470,applepay
3,2021-04-04 12:15:03.257180,1448,6,6070,visa
4,2021-04-11 17:05:14.265177,83,9,10990,visa
5,2021-07-04 00:25:27.488266,1818,49,20510,applepay
6,2020-04-04 03:51:19.191308,130,7,18420,mastercard
7,2023-08-30 04:44:07.111061,1881,6,19540,visa
8,2023-12-13 22:21:42.161267,1093,34,1630,cash
9,2020-03-30 22:30:20.541121,280,73,16870,visa
10,2023-03-26 06:30:25.511022,1486,9,11120,visa
11,2021-02-17 12:30:38.791414,630,37,2880,cash
12,2020-02-29 09:19:34.765725,1274,28,24010,applepay
13,2020-03-29 15:15:33.106064,1984,80,14280,applepay
14,2021-05-26 00:33:01.006480,1173,47,17790,mastercard
15,2023-01-08 04:04:35.545669,1735,84,16620,visa
16,2022-08-18 07:41:03.073180,896,23,3400,visa
17,2023-09-05 21:56:49.226599,854,22,24850,mastercard
18,2022-05-22 05:24:38.785867,1699,6,17620,mastercard
19,2021-11-11 20:41:47.803849,1904,23,17550,applepay
20,2022-09-22 01:02:19.234990,435,51,1650,mastercard
21,2021-02-26 15:42:34.515012,1221,9,21170,cash
22,2022-06-26 05:44:53.782309,1883,19,9600,cash
23,2020-09-08 18:25:46.983096,1405,61,700,visa
24,2022-09-23 00:33:18.191440,981,49,26480,cash
25,2020-11-07 04:31:58.790329,1144,20,4270,applepay
26,2022-06-23 06:16:37.166753,1174,56,19620,cash
27,2021-10-11 20:11:18.202895,606,88,1760,cash
28,2023-10-12 06:29:24.540774,1896,60,22010,cash
29,2021-02-27 12:51:17.263616,467,50,3680,visa
30,2022-06-17 15:43:33.090191,937,24,7160,cash
31,2022-04-03 19:53:05.742090,922,45,25230,mastercard
32,2020-03-06 00:19:03.964325,429,72,23340,applepay
33,2022-10-08 16:42:49.050164,1575,5,11560,cash
34,2020-05-04 03:57:03.650666,1221,98,10650,applepay
35,2020-01-08 13:07:02.538734,870,88,9740,applepay
36,2023-06-22 00:31:05.873001,948,43,13650,applepay
37,2022-04-11 13:11:03.106874,158,52,2660,mastercard
38,2020-05-08 16:41:57.535987,106,96,17940,mastercard
39,2020-04-22 06:00:29.645585,1835,26,14640,visa
40,2021-03-27 09:31:22.457162,1815,17,10970,applepay
41,2021-02-07 06:17:32.991745,1851,32,23180,visa
42,2022-08-27 23:41:09.015836,1047,74,28540,mastercard
43,2020-08-07 21:24:15.935417,376,39,11840,visa
44,2023-02-07 16:40:13.603932,959,23,23430,applepay
45,2020-09-10 07:43:19.332231,970,46,4020,applepay
46,2023-03-04 04:52:53.825160,1634,86,1930,mastercard
47,2021-03-14 22:28:11.788378,552,9,410,mastercard
48,2020-09-15 22:16:31.614707,911,63,3020,mastercard
49,2022-03-03 16:40:57.890061,119,46,6040,cash
50,2021-08-11 13:53:48.103895,530,51,16810,cash
51,2020-02-21 01:00:10.494081,802,50,10000,cash
52,2022-03-13 10:49:00.894562,1112,39,29270,cash
53,2020-08-14 13:27:35.392381,771,81,11020,visa
54,2023-01-10 22:56:34.379206,1007,88,6850,mastercard
55,2020-10-27 11:21:36.963770,1748,58,16930,cash
56,2020-11-07 00:00:56.866065,1602,44,17140,visa
57,2023-07-29 18:26:13.895803,1144,87,4960,cash
58,2022-10-07 10:12:20.922747,585,31,23340,visa
59,2021-02-26 08:56:44.293268,1448,44,8750,cash
60,2020-11-15 13:26:58.369526,446,14,17410,mastercard
61,2021-06-05 21:32:27.325387,982,6,20570,applepay
62,2022-12-13 09:03:04.135880,1918,46,7490,applepay
63,2021-04-27 04:03:53.074955,1192,40,2700,cash
64,2023-06-25 08:57:54.980083,1753,69,4970,mastercard
65,2020-12-05 05:29:28.782038,1132,84,910,visa
66,2020-10-19 09:20:16.766612,1838,7,12140,mastercard
67,2020-07-16 11:29:04.104140,1960,68,27660,cash
68,2022-11-26 03:01:16.233331,1879,87,12250,cash
69,2023-02-10 07:59:23.654153,1740,50,7110,visa
70,2023-04-27 07:28:46.073408,1868,47,5360,cash
71,2020-06-19 21:23:28.332141,626,94,8100,visa
72,2020-08-24 00:45:10.834814,1288,21,25260,mastercard
73,2020-05-28 15:17:20.706304,1884,58,70,mastercard
74,2022-08-23 01:53:27.314704,32,88,24580,applepay
75,2023-01-29 17:22:06.894776,1376,3,7320,mastercard
76,2020-09-17 11:59:40.622519,1568,82,27230,visa
77,2021-12-26 12:41:43.922342,1246,35,20310,cash
78,2020-06-02 16:45:20.147155,1804,79,6320,applepay
79,2021-03-22 19:06:21.589574,1408,68,24160,applepay
80,2021-06-27 23:35:10.365314,292,23,23470,visa
81,2023-03-29 21:19:25.640907,30,41,27040,mastercard
82,2020-08-18 08:43:58.027713,1565,20,19440,cash
83,2023-11-08 20:00:07.124440,906,5,26360,mastercard
84,2023-07-08 17:57:26.073849,1410,11,2920,visa
85,2023-09-21 02:09:39.135804,448,16,22350,applepay
86,2023-11-25 02:01:37.544344,480,48,5730,applepay
87,2020-02-12 08:35:53.708646,1908,75,14660,mastercard
88,2021-02-22 10:40:30.090220,1509,28,13640,visa
89,2022-01-24 18:59:53.319558,1840,35,22460,mastercard
90,2020-12-20 10:10:24.614079,993,20,6610,mastercard
91,2023-01-28 16:57:04.117115,137,10,20580,applepay
92,2022-09-07 20:39:35.435383,1664,89,17810,cash
93,2021-04-24 06:08:44.460187,1635,31,27310,mastercard
94,2023-12-04 21:30:23.575161,577,97,29540,applepay
95,2020-04-10 15:57:07.056291,124,45,30,applepay
96,2021-04-20 17:16:40.963492,1499,3,17750,visa
97,2021-04-23 01:00:46.114529,1903,100,18050,visa
98,2020-07-11 21:24:02.100254,600,59,20800,applepay
99,2023-12-09 13:32:47.454554,1323,31,3150,cash
100,2020-07-16 13:27:15.430421,1349,11,29500,cash
101,2021-10-28 18:39:23.116129,651,53,17110,visa
102,2022-01-20 12:32:00.651803,700,66,26610,applepay
103,2021-02-19 07:02:33.234025,126,9,11520,mastercard
104,2022-08-15 04:23:40.542008,1948,23,8590,cash
