order_id,date_of_order,price,quantity_ordered,menu_id,customer_id
1,2023-01-09 05:51:04.894036,23230,16,3,1989
2,2022-05-24 15:10:01.070891,6500,18,7,1999
3,2022-04-29 22:17:29.430000,17700,18,91,447
4,2020-09-05 20:02:11.591781,19650,18,3,1410
5,2022-03-30 03:12:11.729565,18310,5,20,674
6,2020-07-22 13:28:27.676285,15560,6,45,733
7,2023-06-16 04:45:43.079048,2610,15,46,1203
8,2021-04-02 23:01:43.058643,12370,12,47,1385
9,2022-04-11 05:14:22.171001,18440,18,97,318
10,2023-06-24 14:46:59.671968,11800,12,90,187
11,2021-10-02 03:50:21.090267,27070,6,10,1296
12,2022-07-25 18:14:45.490255,13280,13,21,1755
13,2020-04-02 23:05:27.569495,16330,14,7,1604
14,2022-01-20 20:47:41.652084,26610,3,49,255
15,2021-07-26 20:35:04.265605,9730,3,85,515
16,2023-09-16 05:06:00.286591,25530,13,63,1598
17,2022-12-13 16:01:05.350595,8130,4,32,465
18,2021-09-24 13:44:48.403417,3270,11,70,1364
19,2020-08-20 21:37:11.554304,5670,6,6,204
20,2021-03-04 22:33:28.722259,26300,12,51,520
21,2023-12-14 01:58:50.392667,23220,13,99,1428
22,2020-03-26 04:31:30.168139,6510,15,8,1498
23,2020-11-17 10:55:41.605900,22020,6,65,1666
24,2023-09-27 15:40:41.332193,26070,7,93,1872
25,2020-07-08 00:07:15.079406,1660,7,34,1825
26,2020-06-28 11:40:04.394021,13440,1,59,749
27,2023-02-19 17:21:53.052619,25700,10,88,610
28,2020-04-18 11:01:43.815265,27040,1,86,1321
29,2020-09-18 09:27:25.769562,17790,4,65,18
30,2021-05-12 09:39:25.839045,14520,3,12,59
31,2021-07-21 10:29:33.924892,25920,2,66,180
32,2020-11-01 10:03:32.411070,12410,8,20,769
33,2020-04-20 19:09:45.848596,3320,3,4,1419
34,2022-06-17 23:01:53.072170,5200,11,8,1450
35,2023-07-21 17:49:54.399009,17140,3,25,379
36,2022-01-28 23:43:09.584245,9350,2,4,1824
37,2021-10-12 12:51:48.940673,17060,19,30,59
38,2023-07-04 03:13:27.659000,20880,19,86,1731
39,2021-03-15 10:33:07.613786,1730,18,21,553
40,2020-12-30 10:26:38.927634,27100,3,31,362
41,2022-05-19 00:26:55.244741,5800,3,24,910
42,2021-11-26 12:00:03.257686,23480,18,94,81
43,2021-01-29 11:28:50.961613,16060,11,63,375
44,2020-12-22 10:01:00.935026,20780,7,1,1945
45,2020-07-23 07:23:13.619456,19160,3,72,854
46,2023-05-21 21:02:10.160129,23620,17,55,690
47,2020-11-17 11:46:07.395153,22670,4,65,160
48,2020-03-12 20:53:57.540286,27100,8,10,1461
49,2021-09-12 15:58:17.878370,23630,3,94,947
50,2020-03-02 20:13:39.087437,250,6,59,1448
51,2020-03-06 12:29:06.359370,4410,10,58,1566
52,2022-02-09 13:29:48.741235,26530,9,62,490
53,2022-12-08 18:14:41.348350,20210,11,43,156
54,2022-01-14 13:11:50.742883,16960,9,63,596
55,2020-01-04 17:18:50.142566,4370,15,20,411
56,2020-03-09 16:45:33.323873,12690,15,67,1786
57,2020-04-04 14:36:51.074767,8230,3,99,1416
58,2023-05-17 13:25:32.061532,13150,4,19,1177
59,2021-12-05 21:34:18.300201,3530,17,7,1664
60,2023-02-02 01:56:57.831478,22180,6,17,879
61,2020-11-15 22:59:49.138222,9020,10,12,1690
62,2023-05-10 16:15:00.308924,8930,14,87,1448
63,2020-05-16 21:22:52.670731,15600,1,50,1682
64,2022-10-21 18:19:50.059763,3480,12,13,1474
65,2020-11-27 07:20:28.804456,15980,16,55,627
66,2022-06-18 07:28:50.539197,3880,6,81,1990
67,2021-05-08 00:22:16.368128,25290,19,13,1377
68,2021-03-11 06:43:14.392247,20220,13,45,293
69,2022-02-26 14:13:29.726638,11110,7,58,200
70,2020-11-21 23:05:03.246050,15100,20,26,1771
71,2021-06-23 00:55:37.844780,3930,3,97,1376
72,2023-12-18 11:36:42.847093,20520,16,18,1982
73,2020-01-13 22:47:13.339411,10540,9,79,1341
74,2023-03-29 01:49:00.020630,15880,8,90,1735
75,2022-03-21 05:59:30.816575,14170,19,48,1975
76,2020-06-04 23:32:10.968293,15660,12,81,1756
77,2020-12-09 11:34:39.897907,3640,18,59,1544
78,2023-05-17 22:20:46.117902,8830,13,50,1318
79,2023-01-03 16:22:27.726901,17860,16,70,74
80,2023-04-02 19:57:50.009638,390,3,53,1311
81,2023-01-03 22:14:22.442255,11710,10,19,1446
82,2022-11-24 00:20:23.348427,12590,17,71,1365
83,2021-09-03 03:01:23.720850,19180,7,41,1965
84,2021-12-13 10:46:00.116476,26850,1,37,54
85,2021-08-25 07:42:35.682906,27600,10,23,128
86,2023-08-31 11:51:53.037734,16680,4,62,1990
87,2023-03-27 04:57:34.521129,7450,18,13,837
88,2021-02-19 06:25:59.102055,19660,8,86,1193
89,2023-04-27 01:02:24.539286,18360,10,56,710
90,2023-08-31 02:24:12.903220,15250,14,84,698
91,2021-07-03 10:25:40.872596,11110,9,74,625
92,2020-12-09 21:21:50.940712,8420,4,10,1253
93,2021-06-30 17:16:29.715201,9390,12,2,1526
94,2021-05-15 15:28:47.071996,13160,9,69,1874
95,2023-09-10 16:33:37.415562,13090,17,97,846
96,2022-11-22 22:39:51.758978,21480,11,78,354
97,2023-05-27 19:51:03.523056,23870,3,4,658
98,2021-04-10 20:13:56.752674,890,10,45,125
99,2020-11-30 03:06:59.234372,2070,1,6,1694
100,2022-04-25 01:54:09.272439,14440,19,13,564
101,2021-10-02 12:07:21.873772,3180,12,6,707
102,2023-07-07 16:29:12.528610,13410,18,40,903
103,2022-11-22 05:25:05.357812,18820,8,20,1872
104,2020-06-02 12:05:55.850094,3630,19,12,595
105,2023-07-02 09:51:00.456674,12300,17,57,1549
106,2021-11-16 19:58:07.251714,7440,1,76,1552
107,2020-01-09 16:25:03.857040,13260,20,50,613
108,2022-03-31 14:34:40.644411,11660,10,54,729
